id;product_id;brand;store_id;presentation;price;date
472;Vasos Plasticos 12oz;Plastifar;Bon Bini Supermarket;50 Und;6.75;26/2/24
473;Vasos Plasticos 10oz;Hyplast;Mangusa Supermarket;50 Und;2.65;13/3/24
474;Vasos Plasticos 12oz;Hyplast;Mangusa Supermarket;50 Und;3.45;13/3/24
475;Vasos Plasticos 10oz;Emerald;Mangusa Supermarket;50 Und;4.82;13/3/24
476;Vasos Plasticos 7oz;Emerald;Mangusa Supermarket;50 Und;3.7;13/3/24
477;Vasos Plasticos 12oz;Emerald;Mangusa Supermarket;50 Und;5.5;13/3/24
478;Filet de Dorado;Otra ;Goisco;1 Kg;26.31;15/3/24
479;Dorado en Ruedas;Otra ;Goisco;1 Kg;18.94;15/3/24
480;Dorado Mochi Sera;Otra ;Goisco;1 Kg;24.2;15/3/24
481;Robalo - Snoek;Otra ;Goisco;1 Kg;19.99;15/3/24
482;Cabeza de Dorado;Otra ;Goisco;1 Kg;6.83;15/3/24
483;Pargo Rojo;Otra ;Goisco;1 Kg;22.99;15/3/24
484;Pargo Rojo Rebanado;Otra ;Goisco;1 Kg;25.99;15/3/24
485;Mero Rebanado;Otra ;Goisco;1 Kg;29.46;15/3/24
486;Pulpo;Otra ;Goisco;1 Kg;32.62;15/3/24
487;Mula Rebanado;Otra ;Goisco;1 Kg;26.95;15/3/24
488;Lomo de Atún;Otra ;Goisco;1 Kg;35.78;15/3/24
489;Salmon;Otra ;Goisco;1 Kg;39.99;15/3/24
490;Salmon;Atlantis;Goisco;1 Kg;46.31;15/3/24
491;Calamares;Otra ;Goisco;1 Kg;24.2;15/3/24
492;Camarones Cocidos;Select;Goisco;1 Kg;37.48;15/3/24
493;Camarones Pelados Frescos 16-20;Otra ;Goisco;1 Kg;22.99;15/3/24
494;Camarones EZP Frescos 8-12;Select;Goisco;1 Kg;24.99;15/3/24
495;Filet de Pangasius;Panamei;Goisco;1 Kg;6.59;15/3/24
496;Mejillones Negros Cocidos;Panamei;Goisco;1 Kg;14.52;15/3/24
497;Almejas Cocidas;Panamei;Goisco;1 Kg;20.9;15/3/24
498;Atun en Agua;Van Camps;Bon Bini Supermarket;160 g;3.54;12/8/24
499;Atun en Agua;Perfect Catch;Bon Bini Supermarket;160 g;3.34;12/8/24
500;Atun en Aceite ;Perfect Catch;Bon Bini Supermarket;160 g;3.44;12/8/24
501;Atun en Agua;Sa-Pac;Mangusa Hypermarket;160 g;3.25;12/8/24
502;Atun en Aceite ;Sa-Pac;Bon Bini Supermarket;160 g;3.43;12/8/24
503;Atun en Aceite ;Van Camps;Bon Bini Supermarket;160 g;3.53;12/8/24
504;Atun en Aceite de Oliva;Van Camps;Bon Bini Supermarket;160 g;3.96;12/8/24
505;Atun Maiz y Vegetales;Van Camps;Bon Bini Supermarket;150 g;2.93;12/8/24
506;Atun en Agua;Gomes;Bon Bini Supermarket;160 g;4.1;12/8/24
507;Atun en Aceite ;Gomes;Bon Bini Supermarket;160 g;4.1;12/8/24
508;Aceite de Oliva;Vigo;Bon Bini Supermarket;250 ml;11.05;12/8/24
509;Aceite de Oliva;Kent;Bon Bini Supermarket;250 ml;9.01;12/8/24
510;Aceite de Oliva;Goya;Bon Bini Supermarket;250 ml;13.43;12/8/24
511;Aceite de Oliva;Orkide;Bon Bini Supermarket;250 ml;6.92;12/8/24
512;Aceite de Oliva;Gold Drop;Bon Bini Supermarket;1 lt ;30.11;12/8/24
